week_start,strategy,weekly_return,cumulative_return,drawdown
2021-02-01,long_only,0.11529629017400145,0.11529629017400156,0.0
2021-02-08,long_only,-0.002744996550483163,0.11223480570470712,-0.02655319147454045
2021-02-15,long_only,-0.018038385326597434,0.09217188570575252,-0.20056503494908995
2021-02-22,long_only,0.008095610004055823,0.10101368334982053,-0.12387741880182067
2021-03-01,long_only,0.03509112383135263,0.13964949085226275,0.0
2021-03-08,long_only,0.020061648848060998,0.16251273874761218,0.0
2021-03-15,long_only,-0.02067492804256631,0.13847787152543867,-0.14789528136314584
2021-03-22,long_only,-0.13796408518194522,-0.01859118651945668,-1.1143983337105003
2021-03-29,long_only,0.014934278611303364,-0.003934553867349644,-1.0242107412481685
2021-04-05,long_only,-0.02294302102958424,-0.026787304344813245,-1.1648320282535811
2021-04-12,long_only,-0.016279342309347158,-0.04263056695718648,-1.2623213865307703
2021-04-19,long_only,0.008935583949582377,-0.03407591201746829,-1.2096814826952695
2021-04-26,long_only,-0.03572524180273058,-0.0685837836237263,-1.422020969877563
2021-05-03,long_only,-0.004335511750934704,-0.07262194957483681,-1.446869273968862
2021-05-10,long_only,0.01768658479839936,-0.056219799045817864,-1.3459408750296746
2021-05-17,long_only,-0.042104298521406,-0.09595700236538529,-1.5904583425574397
2021-05-24,long_only,0.00023307343581457845,-0.09574629395780254,-1.5891617770745947
2021-05-31,long_only,0.02293113743978894,-0.07501072794411046,-1.4615682962589454
2021-06-07,long_only,0.003808719626947113,-0.07148770314891562,-1.439889843096783
2021-06-14,long_only,0.009203122491268308,-0.06294249074634617,-1.3873080426273414
2021-06-21,long_only,0.027681017960526872,-0.037003785002649114,-1.2276977502675483
2021-06-28,long_only,0.006269533920458389,-0.030966247567450256,-1.1905465861081936
2021-07-05,long_only,0.0075822639265776814,-0.023618777902744692,-1.145334932416747
2021-07-12,long_only,-0.04607975736947301,-0.0686101877170957,-1.4221834438692813
2021-07-19,long_only,0.04958283949087725,-0.022429236151234155,-1.1380152492911189
2021-07-26,long_only,0.019952839410886703,-0.002923923687381813,-1.0179919661062555
2021-08-02,long_only,0.0602981979305897,0.057197966913972165,-0.6480401022420614
2021-08-09,long_only,-0.05615046591028168,-0.0021641914876500135,-1.0133170575077877
2021-08-16,long_only,-0.0036194716776001153,-0.0057758299354556675,-1.0355407827101217
2021-08-23,long_only,-0.005061213789574163,-0.010807811014914237,-1.066504392813779
2021-08-30,long_only,0.004963012809232307,-0.005898437510188592,-1.0362952317193366
2021-09-06,long_only,-0.029360896233240535,-0.03508615033175422,-1.2158978465450896
2021-09-13,long_only,-0.03783238396171544,-0.07159114158238022,-1.4405263374064707
2021-09-20,long_only,0.032116218072573824,-0.041774160224930634,-1.2570516043656572
2021-09-27,long_only,0.01839531963618388,-0.02414728961861745,-1.1485870572652093
2021-10-04,long_only,0.0304011864272997,0.00551979055527263,-0.966034720737523
2021-10-11,long_only,0.012020006406519543,0.017606144879629193,-0.8916629858353926
2021-10-18,long_only,0.022846937559861058,0.04085532893222488,-0.7486022988285577
2021-10-25,long_only,0.02564604701791015,0.06754915363686287,-0.5843454848067695
2021-11-01,long_only,0.021735095323145878,0.09075243625330387,-0.4415672460345063
2021-11-08,long_only,-0.01899696060566617,0.07003145519126552,-0.5690709803369521
2021-11-15,long_only,0.022883706575196134,0.09451774103809263,-0.4183979559603515
2021-11-22,long_only,0.02427206695985034,0.12108394893731345,-0.254926414566424
2021-11-29,long_only,-0.06320089276613203,0.05023044249869435,-0.6909138145982271
2021-12-06,long_only,0.01707241271891976,0.06816041006300577,-0.5805842016553471
2021-12-13,long_only,0.008675936299172734,0.0774277017380105,-0.5235591847463825
2021-12-20,long_only,0.022063001771521838,0.10119899103014274,-0.3772857942705143
2021-12-27,long_only,-0.00997786209839463,0.09021137935475276,-0.4448965659556442
2022-01-03,long_only,-0.05543517397023563,0.02977532187589138,-0.8167816129039984
2022-01-10,long_only,0.03572487265369963,0.06656391411183016,-0.5904080220123163
2022-01-17,long_only,-0.08240996232169254,-0.021331577863802687,-1.1312609585451106
2022-01-24,long_only,0.04719479073407946,0.02485647351696696,-0.8470490762230651
2022-01-31,long_only,0.039202315616211444,0.06503322045309634,-0.5998269369264945
2022-02-07,long_only,-0.021405812823656306,0.04223531868510144,-0.7401107198698169
2022-02-14,long_only,-0.022077455153424873,0.019225415177515748,-0.881699026638315
2022-02-21,long_only,0.012168875512903727,0.03162824237439854,-0.8053799190258046
2022-02-28,long_only,-0.021295831207701843,0.009658861455695167,-0.9405655117861517
2022-03-07,long_only,-0.03911469467391622,-0.029833636634958305,-1.1835772190221405
2022-03-14,long_only,0.055096203111290834,0.023618846372744473,-0.8546646462624364
2022-03-21,long_only,0.036824933101234095,0.061313541911583114,-0.6227154721279718
2022-03-28,long_only,0.013772706255578476,0.07593070156939907,-0.5327707713589023
2022-04-04,long_only,-0.07426773863043111,-0.003976238559213474,-1.0244672423211618
2022-04-11,long_only,-0.0015113922593693228,-0.0054816211624030275,-1.0337304091029822
2022-04-18,long_only,-0.07701043316893963,-0.08206991231115801,-1.5050060256421829
2022-04-25,long_only,-0.03580447857176012,-0.11493592046618706,-1.707242529736001
2022-05-02,long_only,0.0023288413977393223,-0.11287474659811658,-1.6945593771169836
2022-05-09,long_only,0.007993324728080762,-0.10578366637319436,-1.6509253809172462
2022-05-16,long_only,-0.03300414273989972,-0.13529650988856323,-1.8325286431772176
2022-05-23,long_only,0.05894573445486726,-0.08432592757825763,-1.5188881082683534
2022-05-30,long_only,-0.009848425500696482,-0.0933438754634226,-1.574378822132761
2022-06-06,long_only,-0.09493278738025769,-0.17941526856106194,-2.1040074147030405
2022-06-13,long_only,-0.07654501008098562,-0.2422269351013583,-2.490510448399648
2022-06-20,long_only,0.05711955719010212,-0.19894327318376126,-2.224170330996187
2022-06-27,long_only,-0.015950239345254674,-0.21172031970560656,-2.3027921462477807
2022-07-04,long_only,-0.008787886389616079,-0.2186476319792765,-2.3454184186683587
2022-07-11,long_only,-0.03213638102777089,-0.24375746939494147,-2.499928382682081
2022-07-18,long_only,0.043945700135264464,-0.21052386191543793,-2.29542990622039
2022-07-25,long_only,0.0017183897603670665,-0.20916723420369931,-2.2870820823993565
2022-08-01,long_only,0.06586915981623334,-0.15707574436554894,-1.9665441957106693
2022-08-08,long_only,0.04375248030752109,-0.12019571747017077,-1.7396079740975803
2022-08-15,long_only,-0.10915636513644296,-0.21623195498260306,-2.3305538793387677
2022-08-22,long_only,-0.004758304388380317,-0.2199613619106816,-2.35350227684175
2022-08-29,long_only,-0.02054296879222427,-0.23598567130967962,-2.452105681857798
2022-09-05,long_only,0.025622027823488068,-0.2164100749224327,-2.331649916124575
2022-09-12,long_only,-0.028999470327897937,-0.23913376770395944,-2.4714770641785955
2022-09-19,long_only,-0.09596540367179411,-0.312150602826486,-2.9207762125728896
2022-09-26,long_only,0.013170164266760567,-0.30309151327491857,-2.865032339068693
2022-10-03,long_only,-0.014528180095550944,-0.3132163252801784,-2.9273339905163622
2022-10-10,long_only,-0.0033863674405264456,-0.31554202715493473,-2.941644880189868
2022-10-17,long_only,0.029458014726785976,-0.29537925411099875,-2.817576002886351
2022-10-24,long_only,0.022393884145162257,-0.2796000587612826,-2.720480873782522
2022-10-31,long_only,0.0016167973372595893,-0.2784353180545258,-2.7133138005073274
2022-11-07,long_only,0.04058173741701136,-0.24915296960242517,-2.533128858220574
2022-11-14,long_only,-0.02241807677582497,-0.2659855159767782,-2.6367056393644486
2022-11-21,long_only,0.027337593141751004,-0.24591932665239913,-2.5132310768223545
2022-11-28,long_only,0.02475869964509888,-0.227249269752812,-2.3983474249716377
2022-12-05,long_only,-0.024933276296182978,-0.2465164772181423,-2.516905561483342
2022-12-12,long_only,-0.03428081682791299,-0.27234650784547776,-2.6758471363185943
2022-12-19,long_only,-0.010906684748041014,-0.28028279509021825,-2.7246819987786126
2022-12-26,long_only,-0.009734263915470779,-0.2872887123073151,-2.76779195601081
2023-01-02,long_only,0.03229713179794262,-0.2642701819148231,-2.6261505648812165
2023-01-09,long_only,0.031446559831243386,-0.24113401017077774,-2.4837852837202323
2023-01-16,long_only,0.02514138766740286,-0.22205506613287385,-2.3663856005634916
2023-01-23,long_only,0.0022259392686316743,-0.2203234079557459,-2.355730077861254
2023-01-30,long_only,0.09853802060916296,-0.14349561986040715,-1.882980749486111
2023-02-06,long_only,-0.049810940795145295,-0.18615890883032304,-2.145503486464739
2023-02-13,long_only,-0.022517366691624078,-0.2044844671089021,-2.2582673129795285
2023-02-20,long_only,-0.028524313813499243,-0.2271760018126009,-2.397896580682287
2023-02-27,long_only,0.01733594919458412,-0.2137783642436688,-2.3154560429608777
2023-03-06,long_only,-0.05288380294531525,-0.2553567543003501,-2.5713030022645045
2023-03-13,long_only,0.03172430127775586,-0.23173346762932834,-2.42594032575636
2023-03-20,long_only,-0.0008962631709238868,-0.23242203662774552,-2.430177341289564
2023-03-27,long_only,0.027724573396085767,-0.2111412650450134,-2.2992290122740653
2023-04-03,long_only,-0.006530394983846374,-0.21629282417072682,-2.3309284295961374
2023-04-10,long_only,0.005487706445575516,-0.21199206925048464,-2.3044643200537993
2023-04-17,long_only,-0.004568892056670859,-0.2155923924258798,-2.3266184182687497
2023-04-24,long_only,0.0030695083892872755,-0.2131846466938102,-2.311802682895482
2023-05-01,long_only,0.0030832984123678794,-0.21075866016413458,-2.2968747052589515
2023-05-08,long_only,-0.00026925014968428115,-0.21097116351302236,-2.298182315668606
2023-05-15,long_only,0.05276973574899328,-0.1693343203132689,-2.0419756729117147
2023-05-22,long_only,0.02984801652134151,-0.144540597382268,-1.8894108763174833
2023-05-29,long_only,0.021885884809025445,-0.12581811143777855,-1.7742046094809734
2023-06-05,long_only,0.01689179164841042,-0.11105161311337164,-1.6833409735703155
2023-06-12,long_only,0.014309247041647977,-0.09833143103813646,-1.6050690659447229
2023-06-19,long_only,-0.0588391845359653,-0.15138487435756331,-1.9315262023407849
2023-06-26,long_only,0.10534147333667698,-0.06199050672659967,-1.3814501386434268
2023-07-03,long_only,0.006943916908565192,-0.055477046745863845,-1.3413704499314456
2023-07-10,long_only,0.03530913873657756,-0.02212675474953152,-1.1361539711904993
2023-07-17,long_only,-0.006533121527643242,-0.028515319499383796,-1.1754651341127729
2023-07-24,long_only,0.02803577527792042,-0.0012789933109262908,-1.0078701111111825
2023-07-31,long_only,-0.04238641946872136,-0.043611200832673,-1.2683555834992275
2023-08-07,long_only,-0.0259081867837991,-0.06838950047943348,-1.420825475014883
2023-08-14,long_only,-0.022820033678146067,-0.08964888345340738,-1.5516421921399968
2023-08-21,long_only,0.0023407943993467456,-0.087517938658356,-1.5385297136261689
2023-08-28,long_only,0.02649973197314266,-0.06333740860250181,-1.3897381158585171
2023-09-04,long_only,0.0016586321141488375,-0.06178382994828813,-1.3801783812421038
2023-09-11,long_only,-0.040443072488172006,-0.09972817452326466,-1.6136637367126396
2023-09-18,long_only,-0.03353949851002161,-0.12992284007245603,-1.79946249797827
2023-09-25,long_only,-0.01641778101007762,-0.14420757634601677,-1.887361676735853
2023-10-02,long_only,0.026652735484672507,-0.12139836724858022,-1.7470083156811234
2023-10-09,long_only,0.007859562482518515,-0.11449294281872757,-1.7045167271258594
2023-10-16,long_only,-0.05145567352686538,-0.16005730485878245,-1.9848908220503063
2023-10-23,long_only,-0.017334834641403757,-0.17461757258731048,-2.074485446082461
2023-10-30,long_only,0.03709468097903268,-0.14400027475673716,-1.8860860746453512
2023-11-06,long_only,0.00030715081937558454,-0.1437373537397435,-1.8844682259830259
2023-11-13,long_only,0.05770639562284404,-0.09432552271758576,-1.58041925478886
2023-11-20,long_only,0.006757017146298,-0.08820586474562397,-1.5427627730931954
2023-11-27,long_only,0.05751062968748286,-0.03576800988179096,-1.2200935764016623
2023-12-04,long_only,0.012001342307505176,-0.02419593170453538,-1.148886369714761
